user_id,sign_up_date,age,gender,married,has_children,home_country,home_city,session_count,avg_session_duration,avg_page_clicks,total_trips,conversion_rate,cancellation_proportion,avg_days_depatrure_book,avg_days_checkin_book,total_flights_booked,avg_flight_price_usd,avg_flight_discount_amount,discounted_flight_proportion,round_trips_proportion,avg_flight_seats,avg_checked_bags,total_hotels_booked,avg_hotel_price_usd,avg_hotel_discount_amount,discounted_hotel_proportion,avg_hotel_rooms,avg_stay_duration_day,avg_flight_distance_from_home_km,weekend_trip_proportion,preferred_perk,perk_filter
23557,2021-07-22,65,F,TRUE,FALSE,usa,new york,12,4.5,15.42,4,0.33,0.25,207.71,10.59,2,448.32,0.15,0.17,1,1,1,4,157.33,0.18,0.25,1.33,7.33,2611.42,0,free hotel meal,1
94883,2022-02-07,52,F,TRUE,FALSE,usa,kansas city,12,0.5,8.33,3,0.25,0,60.98,7.31,3,1784.95,0.1,0.08,1,1.67,1,2,90,0.08,0.17,1.5,0.5,5303.67,0,1 night free hotel with flight,1
101486,2022-02-17,51,F,TRUE,TRUE,usa,tacoma,13,1.23,26.15,4,0.31,0.25,79.33,64.96,3,1498.57,0.08,0.38,1,2.5,1.75,4,154.2,,0.08,1.6,7.4,2401.2,0,free checked bag,1
101961,2022-02-17,43,F,TRUE,FALSE,usa,boston,12,2,18.17,7,0.58,0,6.58,7.34,6,321.53,0.13,0.25,1,1,0.5,7,150.29,0.1,0.08,1,3.14,1806.41,0.14,1 night free hotel with flight,1
106907,2022-02-24,45,F,TRUE,TRUE,usa,miami,14,3.57,26.29,3,0.21,0.33,134.3,101.84,2,9323.21,0.15,0.14,0.5,4.33,3.67,3,167.25,0.2,0.14,2,8.25,9226.58,0,free checked bag,1
118043,2022-03-10,51,F,FALSE,TRUE,usa,los angeles,13,3.31,16.15,6,0.46,0.17,75.59,8.36,4,491.66,0.17,0.31,1,1.6,0.6,5,227.25,0.13,0.38,1.25,5.5,1656.32,0,no cancellation fees,1
120851,2022-03-13,51,F,TRUE,TRUE,usa,santa ana,13,0.85,25.31,4,0.31,0.25,53.66,6.19,4,1585.14,0.18,0.38,1,1.4,0.6,4,170,,0.08,1,7.33,5628.56,0,no cancellation fees,1
125845,2022-03-19,40,F,TRUE,FALSE,usa,el paso,13,1.54,26.15,5,0.38,0.2,51.46,51.9,5,2076.81,0.15,0.23,1,1.5,0.67,5,207.17,0.07,0.31,1.17,4.67,9046.18,0,no cancellation fees,1
133058,2022-03-27,19,F,FALSE,FALSE,usa,austin,13,0.62,8.69,2,0.15,0,6.49,22.66,1,423.51,0.15,0.08,1,1,0,1,205,0.08,0.23,1,5,2887.18,0,1 night free hotel with flight,1
149058,2022-04-14,51,F,FALSE,TRUE,usa,birmingham,12,2.25,15.42,6,0.5,0.17,39.99,40.18,6,564.88,0.05,0.17,1,1.43,0.57,6,166.71,,0.08,1.14,7.29,2237.99,0,no cancellation fees,1
152583,2022-04-17,37,F,FALSE,FALSE,usa,colorado springs,10,4.4,20.2,2,0.2,0.5,152.42,8.88,2,3202.5,0.15,0.2,1,1.67,1.33,2,213,0.15,0.3,1,2,13425.6,0,free checked bag,1
153982,2022-04-19,45,F,FALSE,TRUE,canada,toronto,11,2.09,23,5,0.45,0.2,68.43,68.76,5,825.79,,0.09,1,1,0.83,5,234.83,0.15,0.18,1,5,5713.97,0.2,no cancellation fees,1
160754,2022-04-26,46,F,TRUE,TRUE,usa,new york,10,0.7,29.4,2,0.2,0.5,157.62,11.86,2,3689.57,,0.1,1,3.67,3.67,2,214,0.1,0.2,1,2,4638.83,0,free checked bag,1
164522,2022-04-30,48,F,TRUE,FALSE,usa,kansas city,10,2.8,13.9,2,0.2,0.5,164.82,9.03,2,2576.01,0.05,0.3,1,1.67,1,2,233,0.05,0.2,1,13,9274.77,0,no cancellation fees,1
167852,2022-05-03,18,F,FALSE,FALSE,usa,tampa,13,0.85,10.69,0,0,,,,0,,0.1,0.23,0,,,0,,0.1,0.31,,,,0,exclusive discounts,1
171470,2022-05-06,24,F,FALSE,FALSE,usa,atlanta,9,0.44,50.67,2,0.22,1,213.1,,2,4079.91,0.1,0.33,1,1.5,0.5,2,,,0.22,,,17520.57,0,no cancellation fees,1
174997,2022-05-10,32,F,FALSE,FALSE,usa,grand rapids,9,1,29.67,3,0.33,0.33,70.43,8.21,3,1465.64,,0.11,1,1.5,0.5,3,112,0.1,0.44,1,1.5,5138.18,0,no cancellation fees,1
175032,2022-05-10,29,F,FALSE,FALSE,usa,houston,14,1.14,12.43,4,0.29,0,6.39,7.56,3,444.55,0.3,0.07,0.67,1.67,0.67,4,145.75,0.1,0.21,1.75,3.5,1726.73,0.25,free hotel meal,1
181157,2022-05-15,53,F,TRUE,FALSE,usa,houston,10,1.9,37.8,4,0.4,0.25,80.71,81.07,4,1714.44,0.18,0.3,1,2,1,4,139.4,0.15,0.2,1.6,6,5773.4,0,no cancellation fees,1
182191,2022-05-16,19,F,FALSE,TRUE,usa,phoenix,9,3,17.89,1,0.11,1,135.66,,1,537.67,,0.11,1,2,1,1,,0.1,0.22,,,1670.95,0,no cancellation fees,1
187212,2022-05-21,55,F,TRUE,TRUE,usa,los angeles,12,1.33,15.58,3,0.25,0,8.68,8.89,3,414.19,0.22,0.17,1,1,0.67,3,217.33,0.13,0.25,1,2,2465.56,0.33,1 night free hotel with flight,1
189676,2022-05-23,36,F,FALSE,TRUE,usa,fort worth,10,1.1,31.2,3,0.3,0.33,133.82,4.37,2,463.26,0.18,0.3,1,1.67,0.67,3,180.5,,0.1,2,9,1058.39,0,free hotel meal,1
190866,2022-05-24,37,F,FALSE,FALSE,usa,tallahassee,12,2,37,7,0.58,0.14,42.64,43,7,964.13,,0.08,1,1,0.25,7,133.13,0.05,0.17,1,5.75,6490.49,0.14,no cancellation fees,1
195192,2022-05-28,28,F,FALSE,FALSE,usa,chicago,13,2.85,27,4,0.31,0,10.4,10.54,4,326.1,0.1,0.08,1,1.5,0.25,4,278,0.1,0.08,1.5,2,1256.35,0,1 night free hotel with flight,1
